"BioCeramic",,,"Coralline",,,"MedPor",,
"Time","Force","Stroke","Time","Force","Stroke","Time","Force","Stroke"
"sec","N","mm","sec","N","mm","sec","N","mm"
,,,,,,"180","641.4731","2.999542"
,,,,,,"180.002","641.4731","2.999573"
,,,,,,"180.004","641.4731","2.999614"
,,,,,,"180.006","641.4731","2.999646"
,,,,,,"180.008","641.4731","2.999677"
,,,,,,"180.01","641.4731","2.999708"
,,,,,,"180.012","641.5049","2.99974"
,,,,,,"180.014","641.5049","2.999771"
,,,,,,"180.016","641.5049","2.999812"
,,,,,,"180.018","641.5049","2.999844"
,,,,,,"180.02","641.5049","2.999875"
,,,,,,"180.022","641.5208","2.999906"
,,,,,,"180.024","641.5526","2.999948"
,,,,,,"180.026","641.5526","2.999979"
,,,,,,"180.028","641.5526","3.00001"
,,,,,,"180.03","641.5526","3.000042"
,,,,,,"180.032","641.5526","3.000073"
,,,,,,"180.034","641.5526","3.000104"
,,,,,,"180.036","641.5844","3.000146"
,,,,,,"180.038","641.5844","3.000177"
,,,,,,"180.04","641.5844","3.000208"
,,,,,,"180.042","641.5844","3.00024"
,,,,,,"180.044","641.5844","3.000281"
,,,,,,"180.046","641.5844","3.000313"
,,,,,,"180.048","641.6321","3.000344"
,,,,,,"180.05","641.6321","3.000375"
,,,,,,"180.052","641.6321","3.000406"
,,,,,,"180.054","641.6321","3.000448"
,,,,,,"180.056","641.6321","3.000479"
,,,,,,"180.058","641.6321","3.00051"
,,,,,,"180.06","641.6639","3.000542"
,,,,,,"180.062","641.6639","3.000573"
,,,,,,"180.064","641.6639","3.000615"
,,,,,,"180.066","641.6639","3.000646"
,,,,,,"180.068","641.6639","3.000677"
,,,,,,"180.07","641.6639","3.000708"
,,,,,,"180.072","641.7115","3.00074"
,,,,,,"180.074","641.7115","3.000781"
,,,,,,"180.076","641.7115","3.000813"
,,,,,,"180.078","641.7115","3.000844"
,,,,,,"180.08","641.7115","3.000875"
,,,,,,"180.082","641.7115","3.000906"
,,,,,,"180.084","641.7115","3.000948"
,,,,,,"180.086","641.7433","3.000979"
,,,,,,"180.088","641.7433","3.00101"
,,,,,,"180.09","641.7433","3.001042"
,,,,,,"180.092","641.7433","3.001073"
,,,,,,"180.094","641.7433","3.001115"
,,,,,,"180.096","641.791","3.001146"
,,,,,,"180.098","641.791","3.001177"
,,,,,,"180.1","641.791","3.001208"
,,,,,,"180.102","641.791","3.00124"
,,,,,,"180.104","641.791","3.001281"
,,,,,,"180.106","641.791","3.001312"
,,,,,,"180.108","641.8228","3.001344"
,,,,,,"180.11","641.8228","3.001375"
,,,,,,"180.112","641.8228","3.001406"
,,,,,,"180.114","641.8228","3.001437"
,,,,,,"180.116","641.8228","3.001479"
,,,,,,"180.118","641.8387","3.00151"
,,,,,,"180.12","641.8705","3.001542"
,,,,,,"180.122","641.8705","3.001573"
,,,,,,"180.124","641.8705","3.001604"
,,,,,,"180.126","641.8705","3.001646"
,,,,,,"180.128","641.8705","3.001677"
,,,,,,"180.13","641.9023","3.001708"
,,,,,,"180.132","641.9023","3.00174"
,,,,,,"180.134","641.9023","3.001771"
,,,,,,"180.136","641.9023","3.001812"
,,,,,,"180.138","641.9023","3.001844"
,,,,,,"180.14","641.9023","3.001875"
,,,,,,"180.142","641.9182","3.001906"
,,,,,,"180.144","641.95","3.001948"
,,,,,,"180.146","641.95","3.001979"
,,,,,,"180.148","641.95","3.00201"
,,,,,,"180.15","641.95","3.002042"
,,,,,,"180.152","641.95","3.002073"
,,,,,,"180.154","641.95","3.002115"
,,,,,,"180.156","641.9818","3.002146"
,,,,,,"180.158","641.9818","3.002177"
,,,,,,"180.16","641.9818","3.002208"
,,,,,,"180.162","641.9818","3.002239"
,,,,,,"180.164","641.9818","3.002281"
,,,,,,"180.166","641.9818","3.002312"
,,,,,,"180.168","642.0295","3.002344"
,,,,,,"180.17","642.0295","3.002375"
,,,,,,"180.172","642.0295","3.002406"
,,,,,,"180.174","642.0295","3.002448"
,,,,,,"180.176","642.0295","3.002479"
,,,,,,"180.178","642.0295","3.00251"
,,,,,,"180.18","642.0295","3.002542"
,,,,,,"180.182","642.0453","3.002583"
,,,,,,"180.184","642.0612","3.002614"
,,,,,,"180.186","642.0612","3.002646"
,,,,,,"180.188","642.0612","3.002677"
,,,,,,"180.19","642.0612","3.002719"
,,,,,,"180.192","642.0612","3.00275"
,,,,,,"180.194","642.0612","3.002781"
,,,,,,"180.196","642.1089","3.002812"
,,,,,,"180.198","642.1089","3.002854"
,,,,,,"180.2","642.1089","3.002885"
,,,,,,"180.202","642.1089","3.002917"
,,,,,,"180.204","642.1089","3.002948"
,,,,,,"180.206","642.1089","3.002979"
,,,,,,"180.208","642.1089","3.003021"
,,,,,,"180.21","642.1407","3.003052"
,,,,,,"180.212","642.1407","3.003083"
,,,,,,"180.214","642.1407","3.003114"
,,,,,,"180.216","642.1407","3.003156"
,,,,,,"180.218","642.1407","3.003187"
,,,,,,"180.22","642.1407","3.003219"
,,,,,,"180.222","642.1566","3.00325"
,,,,,,"180.224","642.1884","3.003292"
,,,,,,"180.226","642.1884","3.003323"
,,,,,,"180.228","642.1884","3.003354"
,,,,,,"180.23","642.1884","3.003385"
,,,,,,"180.232","642.1884","3.003427"
,,,,,,"180.234","642.1884","3.003458"
,,,,,,"180.236","642.1884","3.003489"
,,,,,,"180.238","642.2202","3.003521"
,,,,,,"180.24","642.2202","3.003552"
,,,,,,"180.242","642.2202","3.003594"
,,,,,,"180.244","642.2202","3.003625"
,,,,,,"180.246","642.2202","3.003656"
,,,,,,"180.248","642.2202","3.003687"
,,,,,,"180.25","642.2679","3.003729"
,,,,,,"180.252","642.2679","3.00376"
,,,,,,"180.254","642.2679","3.003792"
,,,,,,"180.256","642.2679","3.003823"
,,,,,,"180.258","642.2679","3.003865"
,,,,,,"180.26","642.2679","3.003896"
,,,,,,"180.262","642.2838","3.003927"
,,,,,,"180.264","642.2997","3.003958"
,,,,,,"180.266","642.2997","3.003989"
,,,,,,"180.268","642.2997","3.004031"
,,,,,,"180.27","642.2997","3.004062"
,,,,,,"180.272","642.2997","3.004094"
,,,,,,"180.274","642.2997","3.004125"
,,,,,,"180.276","642.3474","3.004156"
,,,,,,"180.278","642.3474","3.004198"
,,,,,,"180.28","642.3474","3.004229"
,,,,,,"180.282","642.3474","3.00426"
,,,,,,"180.284","642.3474","3.004302"
,,,,,,"180.286","642.3474","3.004333"
,,,,,,"180.288","642.3474","3.004364"
,,,,,,"180.29","642.3791","3.004396"
